Kode	Land	Møntenhed (på dansk)	Officielt engelsk navn	Note - Kilde: https://da.wikipedia.org/wiki/ISO_4217
PKR	Pakistan	Pakistanske rupee	Pakistan Rupee	
PLN	Polen	Zloty	Zloty	
PYG	Paraguay	Guarani	Guarani	
QAR	Qatar	Qatar rial	Qatari Rial	
RON	Rumænien	Leu	New Leu	
RSD	Serbien	Serbiske dinarer	Serbian dinar	
RUB	Rusland	Russiske rubler	Russian Ruble	
RWF	Rwanda	Rwandiske francs	Rwanda Franc	
SAR	Saudi-Arabien	Saudiarabiske riyal	Saudi Riyal	
SBD	Salomonøerne	Salomonøerne-dollar	Solomon Islands Dollar	
SCR	Seychellerne	Seychellisk rupee	Seychelles Rupee	
SDG	Sudan	Sudaniske dinarer	Sudanese Dinar	
SEK	Sverige	Svenske kronar	Swedish Krona	
SGD	Singapore	Singaporeanske dollar	Singapore Dollar	
SHP	Sankt Helena	Sankt Helena-pund	Saint Helena Pound	
SLL	Sierra Leone	Leone	Leone	
SOS	Somalia	Somaliske shilling	Somali Shilling	
SRD	Surinam	Surinam dollar	Surinam Dollar	Siden 1. januar 2004
SSP	Sydsudan	Sydsudanske pound	Southsudanese Pound	
STD	São Tomé og Príncipe	Dobra	Dobra	
SYP	Syrien	Syriske pund	Syrian pound	
SZL	Swaziland	Lilangeni	Lilangeni	
THB	Thailand	Baht	Baht	
TJS	Tadsjikistan	Somoni	Somoni	
TMM	Turkmenistan	Manat	Manat	
TND	Tunesien	Tunesiske dinarer	Tunisian Dinar	
TOP	Tonga	Pa'anga	Pa'anga	
TRY	Tyrkiet	Nytyrkiske lira	new Turkish Lira	
TTD	Trinidad og Tobago	Trinidad og Tobago-dollar	Trinidad and Tobago Dollar	
TWD	Taiwan	Nytaiwanske dollar	New Taiwan dollar	
TZS	Tanzania	Tanzanisk shilling	Tanzanian Shilling	
UAH	Ukraine	Hryvnia	Hryvnia	
UGX	Uganda	Ugandiske shilling	Uganda Shilling	
USD	USA	Amerikanske dollar	US dollar	
USN	USA	US dollar (dagen efter)	US dollar (Next day)	Børskode
USS	USA	US dollar (samme dag)	US dollar (Same day)	Børskode
UYU	Uruguay	Uruguayske peso	Peso Uruguayo	
UZS	Usbekistan	Usbekiske sum	Uzbekistan Sum	
VEF	Venezuela	Bolivar	Bolivar	
VND	Vietnam	Dong	Dong	
VUV	Vanuatu	Vatu	Vatu	
WST	Samoa	Tala	Tala	
YER	Yemen	Yeminitiske rial	Yemeni Rial	
ZAR	Sydafrika	Rand	Rand	
ZMW	Zambia	Kwacha	Kwacha	
ZWL	Zimbabwe	Zimbabwiske dollar	Zimbabwe Dollar
